OBJECTID,NAME,State,County,GEOid_1,GEOdisplay,HH0V_15,HH0V_14,HH0V_13,HH0V_12,HH0V_11,HH1V_15,HH1V_14,HH1V_13,HH1V_12,HH1V_11,HH2V_15,HH2V_14,HH2V_13,HH2V_12,HH2V_11,HH3V_15,HH3V_14,HH3V_13,HH3V_12,HH3V_11,HH4V_15,HH4V_14,HH4V_13,HH4V_12,HH4V_11,P1HH0V_15,P1HH0V_14,P1HH0V_13,P1HH0V_12,P1HH0V_11,P1HH1V_15,P1HH1V_14,P1HH1V_13,P1HH1V_12,P1HH1V_11,P1HH2V_15,P1HH2V_14,P1HH2V_13,P1HH2V_12,P1HH2V_11,P1HH3V_15,P1HH3V_14,P1HH3V_13,P1HH3V_12,P1HH3V_11,P1HH4V_15,P1HH4V_14,P1HH4V_13,P1HH4V_12,P1HH4V_11,P2HH0V_15,P2HH0V_14,P2HH0V_13,P2HH0V_12,P2HH0V_11,P2HH1V_15,P2HH1V_14,P2HH1V_13,P2HH1V_12,P2HH1V_11,P2HH2V_15,P2HH2V_14,P2HH2V_13,P2HH2V_12,P2HH2V_11,P2HH3V_15,P2HH3V_14,P2HH3V_13,P2HH3V_12,P2HH3V_11,P2HH4V_15,P2HH4V_14,P2HH4V_13,P2HH4V_12,P2HH4V_11,P3HH0V_15,P3HH0V_14,P3HH0V_13,P3HH0V_12,P3HH0V_11,P3HH1V_15,P3HH1V_14,P3HH1V_13,P3HH1V_12,P3HH1V_11,P3HH2V_15,P3HH2V_14,P3HH2V_13,P3HH2V_12,P3HH2V_11,P3HH3V_15,P3HH3V_14,P3HH3V_13,P3HH3V_12,P3HH3V_11,P3HH4V_15,P3HH4V_14,P3HH4V_13,P3HH4V_12,P3HH4V_11,P4HH0V_15,P4HH0V_14,P4HH0V_13,P4HH0V_12,P4HH0V_11,P4HH1V_15,P4HH1V_14,P4HH1V_13,P4HH1V_12,P4HH1V_11,P4HH2V_15,P4HH2V_14,P4HH2V_13,P4HH2V_12,P4HH2V_11,P4HH3V_15,P4HH3V_14,P4HH3V_13,P4HH3V_12,P4HH3V_11,P4HH4V_15,P4HH4V_14,P4HH4V_13,P4HH4V_12,P4HH4V_11,CT
430,8019.04,Maryland,Prince George's,1400000US24033801904,"Census Tract 8019.04, Prince George's County, Maryland",15.84,15.91,9.34,5.96,3.57,45.09,46.22,48.46,35.94,41.15,24.78,21.57,24.23,31.75,27.68,8.69,10.63,14.17,16.68,19.95,5.61,5.67,3.80,9.67,7.65,29.84,31.13,21.41,8.33,5.66,54.21,51.55,54.01,47.62,52.20,13.90,15.05,24.57,44.05,37.42,2.05,2.27,0.00,0.00,4.72,0.00,0.00,0.00,0.00,0.00,8.14,5.54,4.68,5.71,2.88,40.68,43.01,50.49,39.13,50.79,37.53,34.56,25.62,36.41,30.37,11.55,14.51,16.50,15.49,15.97,2.10,2.37,2.71,3.26,0.00,11.11,10.84,0.00,0.00,0.00,44.89,54.19,49.39,35.78,42.42,30.67,13.30,18.29,15.52,5.63,9.33,9.85,21.34,21.55,28.57,4.00,11.82,10.98,27.16,23.38,4.30,3.94,0.04,8.20,5.15,32.80,31.53,36.88,19.34,13.60,17.20,21.18,25.18,24.92,31.25,17.74,24.14,27.30,32.79,36.03,27.96,19.21,6.74,14.75,13.97,24033801904
431,8019.06,Maryland,Prince George's,1400000US24033801906,"Census Tract 8019.06, Prince George's County, Maryland",6.16,3.33,4.68,4.97,5.45,42.46,47.20,45.02,47.72,50.00,35.01,33.74,35.95,34.34,32.54,6.32,8.32,8.01,8.41,6.56,10.05,7.41,6.34,4.55,5.45,13.75,0.00,4.17,7.51,12.50,48.13,63.43,56.55,60.69,57.50,24.38,28.57,39.29,31.79,30.00,0.00,0.00,0.00,0.00,0.00,13.75,8.00,0.00,0.00,0.00,8.47,7.87,7.21,7.05,6.03,28.04,33.80,40.54,42.32,42.67,46.56,40.74,34.23,38.59,41.81,15.87,16.20,16.67,11.20,8.19,1.06,1.39,1.35,0.83,1.29,0.00,0.00,0.00,0.00,0.00,71.67,58.40,51.20,46.62,52.52,19.17,31.20,43.20,42.86,38.13,5.00,6.40,0.00,2.26,2.88,4.17,4.00,5.60,8.27,6.47,0.00,3.45,0.05,3.37,2.70,31.08,37.93,33.33,43.26,50.81,44.59,31.72,28.57,24.72,18.92,2.03,8.28,10.88,17.42,12.97,22.30,18.62,21.77,11.24,14.59,24033801906
432,8021.03,Maryland,Prince George's,1400000US24033802103,"Census Tract 8021.03, Prince George's County, Maryland",5.09,4.03,3.81,3.68,9.96,34.46,34.79,32.30,33.96,26.78,38.86,41.77,44.92,42.83,45.98,7.43,6.35,4.90,10.47,11.43,14.16,13.06,14.07,9.06,5.85,7.76,7.08,8.60,6.92,16.27,57.61,56.31,60.83,65.72,49.41,32.84,36.62,28.98,24.53,29.29,1.79,0.00,1.59,2.83,5.03,0.00,0.00,0.00,0.00,0.00,9.25,6.80,3.89,3.48,15.93,50.34,50.40,38.91,32.75,22.12,39.38,42.80,49.81,48.43,50.15,0.00,0.00,0.00,4.53,4.13,1.03,0.00,7.39,10.80,7.67,2.60,1.98,1.94,3.30,0.00,12.99,26.09,17.05,20.28,21.39,53.25,48.22,48.06,39.15,39.88,4.76,7.91,14.34,23.58,38.73,26.41,15.81,18.60,13.68,0.00,0.00,0.00,0.00,0.00,0.00,9.67,4.83,7.69,5.76,5.74,34.00,41.03,55.68,63.37,67.62,23.00,17.59,4.40,16.05,11.07,33.33,36.55,32.23,14.81,15.57,24033802103
433,8021.06,Maryland,Prince George's,1400000US24033802106,"Census Tract 8021.06, Prince George's County, Maryland",14.99,15.28,13.93,19.25,20.60,50.71,52.09,52.47,43.48,43.68,18.82,19.31,18.40,22.38,24.24,12.93,11.31,11.53,10.87,9.60,2.56,2.02,3.67,4.03,1.88,24.64,25.10,23.66,27.08,40.55,63.24,68.43,68.19,51.26,39.71,9.45,6.47,8.15,21.66,19.75,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.16,12.15,11.01,16.94,7.96,39.86,43.06,58.04,49.72,60.77,18.58,12.15,8.93,15.28,18.88,24.32,26.39,17.86,15.00,12.39,5.07,6.25,4.17,3.06,0.00,5.31,3.86,3.45,12.17,10.96,59.18,55.19,51.99,49.15,44.30,21.22,30.56,31.30,24.33,34.43,14.29,10.39,13.26,14.36,10.31,0.00,0.00,0.00,0.00,0.00,11.05,14.53,0.14,18.12,18.40,37.63,32.76,18.66,12.32,32.53,29.47,33.05,30.63,30.07,22.40,16.32,16.24,22.18,20.65,18.40,5.53,3.42,14.44,18.84,8.27,24033802106
434,8023.01,Maryland,Prince George's,1400000US24033802301,"Census Tract 8023.01, Prince George's County, Maryland",5.06,6.13,2.83,1.24,1.59,35.74,36.55,37.09,36.16,27.34,39.76,37.47,41.26,42.68,44.18,15.02,14.71,14.02,14.64,22.66,4.42,5.13,4.80,5.27,4.23,16.67,20.41,11.92,5.94,7.72,50.00,43.62,48.01,44.76,36.76,28.04,33.42,37.42,45.10,50.74,5.29,2.55,2.65,4.20,4.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.30,55.52,51.35,53.65,32.39,28.02,22.66,32.70,31.99,42.79,16.34,12.46,8.11,5.79,22.22,9.34,9.35,7.84,8.56,2.60,0.00,0.00,0.00,0.00,0.00,31.91,19.79,25.09,26.76,19.69,52.30,60.07,58.67,50.70,50.78,15.79,16.61,12.55,17.96,23.83,0.00,3.53,3.69,4.58,5.70,0.00,0.00,0.00,0.00,0.00,13.07,19.49,20.80,19.30,19.95,51.63,38.99,40.06,45.86,38.53,25.16,32.85,32.42,28.57,33.72,10.13,8.66,6.73,6.27,7.80,24033802301
435,8024.08,Maryland,Prince George's,1400000US24033802408,"Census Tract 8024.08, Prince George's County, Maryland",15.76,16.20,15.25,20.78,25.00,42.20,40.99,40.82,49.56,38.35,31.37,31.07,30.00,17.59,23.30,6.21,9.09,11.80,10.03,11.22,4.46,2.64,2.13,2.03,2.13,17.22,15.99,12.50,15.99,21.00,54.21,54.65,62.13,73.13,66.00,21.61,23.42,20.59,6.12,8.00,0.00,0.00,0.00,0.00,0.00,6.96,5.95,4.78,4.76,5.00,21.11,27.39,26.62,23.28,24.55,45.23,39.49,32.47,37.07,12.73,30.15,26.75,33.77,39.66,62.73,3.52,6.37,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.41,13.64,17.48,29.74,37.55,20.59,29.55,23.30,29.31,25.33,32.35,30.68,26.21,15.09,15.28,17.65,26.14,33.01,25.86,21.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.39,14.29,7.41,32.61,0.00,54.92,61.54,59.26,47.83,55.38,21.31,24.18,33.33,19.57,44.62,7.38,0.00,0.00,0.00,0.00,24033802408
436,8025.01,Maryland,Prince George's,1400000US24033802501,"Census Tract 8025.01, Prince George's County, Maryland",22.58,28.08,27.46,21.13,23.67,57.15,51.90,45.15,46.15,41.90,16.30,14.69,20.90,29.89,27.89,2.15,3.12,4.03,2.83,4.42,1.83,2.21,2.46,0.00,2.11,21.07,20.78,26.40,19.05,25.78,70.34,65.31,60.40,61.90,58.39,7.29,12.66,12.38,17.99,14.13,1.30,1.25,0.83,1.06,1.71,0.00,0.00,0.00,0.00,0.00,24.14,38.32,26.75,18.57,20.09,39.85,38.94,32.21,30.95,32.94,31.80,22.74,41.04,50.48,46.96,4.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.24,37.17,31.96,34.69,37.31,36.47,42.92,43.84,47.45,25.91,26.67,7.96,14.61,17.86,36.79,3.14,4.87,0.00,0.00,0.00,5.49,7.08,9.59,0.00,0.00,15.20,22.83,0.27,20.00,11.71,70.40,33.07,14.62,36.30,23.90,7.20,16.54,11.54,18.52,22.93,0.00,17.32,37.69,25.19,26.34,7.20,10.24,9.23,0.00,15.12,24033802501
437,8028.04,Maryland,Prince George's,1400000US24033802804,"Census Tract 8028.04, Prince George's County, Maryland",14.55,17.38,18.13,13.63,12.37,40.27,39.20,38.99,41.77,44.68,31.48,28.73,30.16,28.98,26.37,13.00,14.00,11.24,12.33,13.86,0.70,0.69,1.48,3.30,2.72,18.96,16.95,14.45,9.01,11.75,54.74,55.54,55.16,57.22,66.84,26.30,27.52,25.66,27.58,14.62,0.00,0.00,4.72,6.19,6.79,0.00,0.00,0.00,0.00,0.00,16.48,19.58,19.27,12.91,9.09,31.04,28.45,33.79,42.02,49.27,29.28,29.44,32.11,28.87,25.36,23.20,22.54,14.83,11.81,13.13,0.00,0.00,0.00,4.38,3.14,11.73,22.12,31.99,24.89,25.66,29.00,31.50,17.45,29.30,31.42,38.59,27.43,32.44,29.52,25.22,20.68,18.94,15.88,12.78,14.82,0.00,0.00,2.24,3.52,2.88,3.73,4.76,0.07,7.60,5.38,41.02,46.35,44.39,33.63,28.61,37.97,31.75,32.11,30.70,40.83,12.20,12.38,11.23,22.51,21.03,5.08,4.76,5.74,5.56,4.16,24033802804
438,8031,Maryland,Prince George's,1400000US24033803100,"Census Tract 8031, Prince George's County, Maryland",15.21,16.35,14.49,13.27,10.44,46.73,46.01,41.93,34.54,27.66,30.21,29.97,29.50,31.25,33.37,5.34,5.65,6.00,10.64,14.32,2.52,2.02,8.07,10.31,14.21,21.73,21.02,16.53,17.94,18.99,72.62,67.90,69.70,58.53,46.88,4.46,10.23,9.09,13.53,26.41,1.19,0.85,1.38,7.65,6.23,0.00,0.00,3.31,2.35,1.48,9.92,8.86,9.19,8.84,3.70,37.70,44.30,37.10,35.37,24.22,47.62,46.84,34.63,31.97,35.90,4.76,0.00,0.00,4.08,15.38,0.00,0.00,19.08,19.73,20.80,16.67,28.24,22.93,18.25,20.20,54.67,37.96,29.94,9.52,14.14,20.00,24.07,32.48,42.86,36.36,8.67,9.72,14.65,29.37,29.29,0.00,0.00,0.00,0.00,0.00,10.98,3.23,0.11,7.24,0.00,16.86,16.13,0.00,0.00,0.00,52.94,52.69,63.19,59.87,41.55,9.41,17.20,18.40,14.47,20.42,9.80,10.75,7.36,18.42,38.03,24033803100
439,8035.08,Maryland,Prince George's,1400000US24033803508,"Census Tract 8035.08, Prince George's County, Maryland",12.93,16.06,20.84,19.64,23.75,51.56,48.98,42.82,44.60,35.88,22.94,22.80,23.89,21.06,22.28,12.57,12.16,10.99,12.29,13.97,0.00,0.00,1.46,2.41,4.12,23.95,26.72,42.35,36.70,35.29,64.71,61.94,45.91,51.99,43.01,8.40,8.50,7.83,11.31,16.91,2.94,2.83,3.91,0.00,0.00,0.00,0.00,0.00,0.00,4.78,6.80,6.73,6.50,13.64,23.09,56.70,52.88,52.77,52.17,32.99,28.45,32.50,30.98,27.67,28.87,8.04,7.88,9.75,6.52,12.78,0.00,0.00,0.00,0.00,2.27,20.07,27.27,35.37,21.10,18.67,37.59,42.42,43.54,52.60,50.38,17.88,11.82,8.16,4.91,7.42,24.45,18.48,12.93,17.63,18.16,0.00,0.00,0.00,3.76,5.37,9.00,12.50,0.15,12.73,22.01,47.20,41.59,29.62,24.09,22.85,28.22,27.88,35.29,33.41,30.82,15.57,18.03,15.34,23.86,19.71,0.00,0.00,4.83,5.91,4.61,24033803508
440,7001.03,Maryland,Montgomery,1400000US24031700103,"Census Tract 7001.03, Montgomery County, Maryland",0.72,0.33,0.39,0.74,2.45,14.29,14.69,11.89,10.87,8.77,39.11,41.25,42.17,47.09,45.15,25.48,23.25,24.56,21.79,25.87,20.39,20.49,21.00,19.52,17.76,0.86,0.00,0.00,0.00,0.00,53.02,54.87,39.22,37.85,47.62,32.76,40.00,56.37,58.19,46.56,8.19,4.10,3.43,3.39,4.76,5.17,1.03,0.98,0.56,1.06,0.00,0.00,0.00,0.00,5.54,9.34,13.03,13.84,12.48,7.38,63.12,62.01,55.68,56.15,53.85,17.71,16.80,25.21,27.71,27.54,9.82,8.16,5.27,3.67,5.69,3.46,2.23,2.65,0.00,0.00,7.55,3.72,4.55,7.32,6.76,25.16,29.74,44.70,45.99,36.18,51.89,53.53,39.39,34.49,42.65,11.95,10.78,8.71,12.20,14.41,0.00,0.00,0.00,1.72,1.37,8.36,9.30,5.24,4.75,0.00,24.92,27.32,25.93,38.39,40.79,26.18,22.82,24.55,17.02,21.61,40.54,40.56,44.28,38.13,36.23,24031700103
441,7002.04,Maryland,Montgomery,1400000US24031700204,"Census Tract 7002.04, Montgomery County, Maryland",1.33,1.47,3.16,2.70,3.13,16.71,11.13,13.27,14.41,11.72,35.54,34.85,43.99,41.70,39.65,21.35,30.56,24.02,25.10,30.79,25.07,21.98,15.55,16.09,14.71,5.49,6.71,8.13,7.97,11.65,45.05,39.02,47.50,59.42,54.37,36.81,39.02,32.50,26.09,16.50,5.49,7.32,4.38,0.00,10.68,7.14,7.93,7.50,6.52,6.80,0.00,0.00,3.40,3.28,3.70,14.08,5.34,7.08,8.85,8.75,47.54,46.56,60.62,62.95,59.60,27.46,38.55,24.36,23.61,26.60,10.92,9.54,4.53,1.31,1.35,0.00,0.00,0.00,0.00,0.00,3.67,4.27,4.21,2.33,3.01,14.68,8.55,11.58,13.95,12.03,27.52,35.90,51.58,47.29,64.66,54.13,51.28,32.63,36.43,20.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.93,31.53,38.80,38.05,40.30,24.02,35.96,26.23,30.24,24.88,48.04,32.51,34.97,31.71,34.83,24031700204
442,7002.06,Maryland,Montgomery,1400000US24031700206,"Census Tract 7002.06, Montgomery County, Maryland",0.68,0.39,0.54,0.54,0.48,15.20,14.89,19.02,17.68,16.91,43.05,43.82,41.20,44.44,42.11,25.88,27.08,25.29,26.17,29.19,15.20,13.82,13.95,11.18,11.31,0.00,0.00,0.00,0.00,0.00,71.36,72.17,79.01,70.50,72.61,28.64,27.83,20.99,29.50,27.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.71,8.72,9.68,8.59,5.16,54.89,63.69,60.91,65.20,57.74,24.18,21.30,21.44,19.16,22.75,9.21,6.29,7.97,7.05,14.34,2.23,1.81,2.42,2.27,2.09,7.92,10.85,16.18,15.23,15.78,34.90,34.63,26.81,23.41,26.91,33.91,31.78,30.43,39.32,43.16,21.04,20.93,24.15,19.77,12.06,0.47,0.00,0.00,0.00,0.00,4.54,3.92,3.80,3.92,6.65,43.19,39.68,42.56,50.22,45.02,30.52,36.92,35.60,32.95,35.80,21.28,19.48,18.04,12.92,12.54,24031700206
443,7007.13,Maryland,Montgomery,1400000US24031700713,"Census Tract 7007.13, Montgomery County, Maryland",26.17,21.68,20.82,14.67,9.98,33.27,38.54,41.78,44.46,47.04,29.64,31.47,28.83,33.52,32.27,8.91,8.30,8.01,6.91,9.98,2.01,0.00,0.55,0.45,0.73,14.02,15.36,19.50,10.12,12.72,63.61,77.36,73.17,80.75,79.77,22.37,7.28,7.34,9.13,7.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.84,21.91,14.60,7.34,3.74,35.29,34.45,41.92,35.64,40.96,26.65,36.57,36.94,51.19,45.32,11.21,7.07,6.53,5.83,9.98,0.00,0.00,0.00,0.00,0.00,23.94,16.76,20.04,15.25,9.67,22.92,33.69,41.02,43.82,47.96,44.14,49.55,38.94,40.93,42.38,2.21,0.00,0.00,0.00,0.00,6.79,0.00,0.00,0.00,0.00,37.47,32.67,0.31,25.45,13.31,20.29,17.88,11.21,16.63,19.39,20.91,22.52,27.23,34.07,34.41,21.33,26.93,27.69,22.04,30.04,0.00,0.00,2.52,1.80,2.85,24031700713
444,7007.16,Maryland,Montgomery,1400000US24031700716,"Census Tract 7007.16, Montgomery County, Maryland",4.42,2.14,2.62,3.94,2.33,40.28,41.30,39.50,37.15,39.51,39.99,34.77,36.05,38.96,39.43,11.48,16.45,15.96,15.31,12.98,3.84,5.35,5.88,4.64,5.75,12.64,8.42,9.84,8.79,3.10,82.40,84.03,82.60,84.89,89.79,4.96,4.93,4.99,3.30,3.62,0.00,2.61,2.57,3.02,3.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,1.58,31.60,32.68,32.78,23.09,36.65,49.83,47.49,45.28,54.13,58.14,16.49,18.12,20.00,20.80,3.63,2.08,1.71,1.94,0.00,0.00,12.80,0.00,0.00,0.00,0.00,22.87,6.45,11.95,10.98,10.21,53.66,56.22,55.38,58.04,55.32,7.93,28.57,22.31,21.57,28.94,2.74,8.76,10.36,9.41,5.53,0.00,0.00,0.00,2.63,2.79,25.98,26.29,20.39,17.26,7.08,49.67,40.34,46.69,50.74,52.47,15.83,22.04,21.01,19.26,23.18,8.52,11.32,11.90,10.11,14.48,24031700716
445,7007.17,Maryland,Montgomery,1400000US24031700717,"Census Tract 7007.17, Montgomery County, Maryland",7.93,4.71,3.92,4.22,7.20,47.21,49.64,41.29,43.09,42.73,31.95,33.25,37.32,36.89,33.28,7.10,8.60,9.95,12.04,12.49,5.81,3.80,7.53,3.76,4.30,7.22,4.93,6.78,6.21,7.98,74.84,79.11,77.68,76.32,74.03,17.94,15.96,15.54,17.47,16.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,11.24,8.38,4.90,7.39,16.06,43.00,45.72,38.18,38.82,41.16,40.07,43.11,50.26,47.50,36.35,0.00,0.00,2.45,4.25,4.22,5.70,2.79,4.20,2.03,2.21,2.78,2.07,0.00,0.00,0.00,24.38,35.49,31.18,32.12,39.80,51.54,44.56,41.20,48.52,45.59,14.51,13.47,16.26,10.25,7.56,6.79,4.40,11.36,9.11,7.05,7.88,3.02,0.04,2.89,4.05,43.80,42.67,29.68,29.84,21.07,25.58,29.45,34.81,32.55,36.14,13.82,18.25,18.73,30.56,32.25,8.91,6.61,12.54,4.16,6.48,24031700717
446,7007.19,Maryland,Montgomery,1400000US24031700719,"Census Tract 7007.19, Montgomery County, Maryland",14.95,12.46,14.30,13.27,13.65,41.17,41.40,40.02,41.95,42.30,32.22,33.76,33.65,31.30,29.77,10.27,11.12,10.36,12.03,14.28,1.39,1.27,1.68,1.45,0.00,23.34,27.01,28.96,27.58,20.88,72.71,66.42,62.44,62.78,68.06,3.94,6.57,8.60,9.64,11.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.47,16.23,28.28,28.18,24.10,26.42,29.44,15.54,15.89,27.18,40.14,48.05,48.50,48.94,44.62,4.97,6.28,7.68,6.99,4.10,0.00,0.00,0.00,0.00,0.00,8.08,5.97,3.14,10.54,12.44,42.26,51.87,51.94,45.73,40.06,41.75,38.06,33.64,34.62,31.83,7.91,4.10,11.28,9.12,15.67,0.00,0.00,0.00,0.00,0.00,6.44,6.96,0.07,0.00,0.00,29.94,29.25,36.85,42.38,41.87,39.37,39.03,36.66,30.14,25.94,20.52,21.76,15.64,23.33,32.18,3.73,3.00,4.13,4.16,0.00,24031700719
447,7007.24,Maryland,Montgomery,1400000US24031700724,"Census Tract 7007.24, Montgomery County, Maryland",20.26,16.67,21.75,18.91,21.59,41.71,42.07,46.41,42.61,45.05,31.18,29.33,25.22,30.47,23.03,4.39,9.29,6.62,8.01,9.14,2.47,2.64,0.00,0.00,1.19,34.53,32.72,37.13,44.19,27.22,57.49,60.08,62.00,55.81,72.78,7.98,7.20,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,0.00,14.01,40.18,57.26,50.75,50.00,41.69,46.43,40.73,46.64,45.83,44.30,4.02,2.02,2.61,4.17,0.00,0.00,0.00,0.00,0.00,0.00,14.56,25.32,17.27,13.41,29.55,39.24,31.17,25.90,42.07,24.43,39.24,32.47,46.76,29.27,30.11,6.96,11.04,10.07,15.24,15.91,0.00,0.00,0.00,0.00,0.00,9.97,2.78,0.13,6.61,12.38,22.37,11.94,20.49,10.51,0.00,49.87,50.00,44.17,60.70,41.09,9.43,26.11,22.26,22.18,39.60,8.36,9.17,0.00,0.00,6.93,24031700724
448,7008.11,Maryland,Montgomery,1400000US24031700811,"Census Tract 7008.11, Montgomery County, Maryland",4.16,4.18,2.28,2.40,1.36,35.16,32.21,33.49,32.74,38.73,46.53,47.37,47.38,49.04,43.09,9.50,11.12,11.21,9.66,11.23,4.65,5.12,5.64,6.16,5.58,4.51,0.00,0.00,0.00,0.00,84.84,80.97,80.92,82.09,83.61,10.66,19.03,19.08,17.91,16.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.89,14.29,7.40,3.42,3.13,28.05,29.43,30.87,31.62,30.29,52.74,48.00,52.41,55.84,63.45,7.32,8.29,9.32,9.12,3.13,0.00,0.00,0.00,0.00,0.00,3.34,4.69,4.89,6.67,0.00,32.44,16.80,19.11,17.33,36.00,50.84,67.19,69.33,76.00,64.00,13.38,11.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,1.33,19.44,16.64,17.54,10.58,17.80,56.04,52.29,50.62,55.45,41.76,12.78,18.17,18.92,17.47,25.46,11.73,12.90,12.92,14.42,13.64,24031700811
449,7008.12,Maryland,Montgomery,1400000US24031700812,"Census Tract 7008.12, Montgomery County, Maryland",9.90,5.53,5.33,6.77,8.26,44.52,44.26,43.11,39.53,36.54,27.33,33.92,37.01,38.04,38.86,15.88,13.98,12.69,14.72,14.14,2.37,2.31,1.86,0.95,2.20,18.01,8.66,8.65,16.67,22.60,77.87,81.95,82.52,73.30,68.36,4.12,9.39,8.83,10.04,9.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.56,3.85,4.02,2.53,1.41,31.89,27.55,23.90,27.26,29.70,56.12,62.81,61.04,61.73,57.58,7.43,5.78,11.04,8.48,9.29,0.00,0.00,0.00,0.00,2.02,15.35,12.57,9.17,3.00,0.00,25.88,24.08,24.45,22.32,26.15,32.02,24.08,35.37,25.75,34.62,26.75,39.27,31.00,48.93,39.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,18.25,23.98,22.42,15.88,5.46,28.57,34.44,47.42,53.82,60.92,43.12,31.89,22.16,25.59,23.85,10.05,9.69,7.99,4.71,7.47,24031700812
450,7014.21,Maryland,Montgomery,1400000US24031701421,"Census Tract 7014.21, Montgomery County, Maryland",6.68,3.89,4.54,6.15,6.94,28.47,35.37,36.48,37.43,43.55,57.64,48.89,49.15,47.49,42.77,3.87,0.56,0.57,0.00,0.00,3.34,11.30,9.26,8.94,6.74,14.13,6.42,9.32,5.22,0.00,71.74,84.40,85.59,89.57,93.04,14.13,9.17,5.08,5.22,6.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.82,12.50,9.42,10.77,0.00,30.38,31.25,22.46,41.54,63.16,53.80,56.25,68.12,47.69,36.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,76.58,96.51,96.15,100.00,100.00,19.82,3.49,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.63,15.45,21.15,27.47,31.28,19.05,18.45,69.71,46.35,43.59,54.55,51.07,0.00,0.00,0.00,0.00,0.00,9.13,26.18,25.13,20.78,15.02,24031701421
451,7014.23,Maryland,Montgomery,1400000US24031701423,"Census Tract 7014.23, Montgomery County, Maryland",7.55,6.04,8.40,5.36,7.41,36.13,42.06,40.16,43.63,44.46,41.54,36.91,37.98,35.79,32.67,12.57,13.36,10.86,12.41,12.78,2.21,1.63,2.60,2.81,2.68,19.81,5.91,4.96,0.00,11.92,71.98,83.46,87.40,95.35,83.74,8.21,6.69,4.20,0.00,0.00,0.00,3.94,3.44,4.65,4.34,0.00,0.00,0.00,0.00,0.00,5.24,6.47,12.26,9.97,11.28,37.16,41.73,32.95,58.52,55.89,55.36,48.92,49.81,31.51,32.83,0.00,0.00,0.00,0.00,0.00,2.24,2.88,4.98,0.00,0.00,7.92,6.35,14.32,13.14,9.97,31.67,33.15,29.97,24.74,27.30,37.54,41.16,42.71,48.71,56.96,20.82,19.34,13.00,13.40,5.77,2.05,0.00,0.00,0.00,0.00,4.60,5.69,0.04,0.00,0.00,25.38,29.66,28.37,25.09,22.30,46.17,41.72,45.04,45.47,37.52,20.78,20.17,17.91,21.95,32.04,3.07,2.76,4.43,7.49,8.14,24031701423
452,7015.03,Maryland,Montgomery,1400000US24031701503,"Census Tract 7015.03, Montgomery County, Maryland",4.50,4.64,0.76,1.45,1.80,24.88,24.17,29.59,25.69,21.88,43.64,41.34,40.34,40.87,45.75,16.67,15.28,18.75,20.22,17.22,10.31,14.57,10.56,11.77,13.34,16.82,22.92,3.89,6.77,7.53,70.18,73.64,79.08,67.90,60.23,9.87,3.44,17.03,25.33,32.24,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,3.23,0.00,0.00,0.00,15.75,12.37,20.58,17.18,18.61,78.90,77.78,72.56,72.14,73.18,1.79,4.66,5.23,8.59,4.01,0.00,1.97,1.62,2.10,4.20,0.00,0.00,0.00,0.00,0.00,18.68,30.99,40.88,35.73,13.39,39.81,33.67,27.47,22.54,28.57,28.30,20.60,20.66,30.94,47.10,13.21,14.74,10.99,10.79,10.94,0.00,0.00,0.00,0.00,0.00,4.80,0.00,0.00,0.00,0.00,35.41,37.21,36.85,38.68,45.25,32.74,28.52,39.45,34.91,21.47,27.05,34.26,23.70,26.42,33.28,24031701503
